Operation;Request time;Response time;#NAME?;the average request time;#VALUE!
SetPayment;02.01.23 01:00;02.01.23 01:00;;;
SetDeliveryAddress;02.01.23 01:13;02.01.23 01:13;;;
GetPaymentList;02.01.23 01:25;02.01.23 01:25;;;
Login;02.01.23 01:38;02.01.23 01:38;;;
SendNotification;2/1/2023 01:51:34.020;02.01.23 01:51;;;
GetItem;02.01.23 02:04;02.01.23 02:04;;;
GetItem;02.01.23 02:17;02.01.23 02:17;;;
SetPayment;02.01.23 02:30;02.01.23 02:30;;;
GetOrder;02.01.23 02:42;02.01.23 02:42;;;
GetOrderList;02.01.23 02:55;02.01.23 02:55;;;
GetOrder;02.01.23 03:21;02.01.23 03:21;;;
Login;02.01.23 03:34;02.01.23 03:34;;;
GetPaymentList;2/1/2023 03:47:15.090;02.01.23 03:47;;;
GetItem;02.01.23 04:00;02.01.23 04:00;;;
ModifyItem;02.01.23 04:12;02.01.23 04:13;;;
GetTrackingData;02.01.23 04:25;02.01.23 04:25;;;
Login;2/1/2023 04:38:40.010;02.01.23 04:38;;;
GetOrderList;02.01.23 04:51;02.01.23 04:51;;;
SendNotification;02.01.23 05:04;02.01.23 05:04;;;
GetOrder;02.01.23 05:17;02.01.23 05:17;;;
Login;02.01.23 05:30;02.01.23 05:30;;;
AddItemToOrder;02.01.23 05:42;02.01.23 05:42;;;
SendNotification;02.01.23 05:55;02.01.23 05:55;;;
ModifyOrder;02.01.23 06:08;02.01.23 06:08;;;
AddItemToOrder;02.01.23 06:21;02.01.23 06:21;;;
GetOrderList;2/1/2023 06:34:21.080;02.01.23 06:34;;;
SetDeliveryAddress;02.01.23 06:47;02.01.23 06:47;;;
AddItemToOrder;02.01.23 07:00;02.01.23 07:00;;;
GetOrder;02.01.23 07:12;02.01.23 07:12;;;
GetPaymentList;2/1/2023 07:25:46.000;02.01.23 07:25;;;
SendNotification;02.01.23 07:38;02.01.23 07:38;;;
GetOrderList;02.01.23 07:51;02.01.23 07:51;;;
GetItem;02.01.23 08:04;02.01.23 08:04;;;
GetPaymentList;02.01.23 08:17;02.01.23 08:17;;;
AddItemToOrder;02.01.23 08:30;02.01.23 08:30;;;
ModifyOrder;02.01.23 08:42;02.01.23 08:43;;;
GetPaymentList;02.01.23 08:55;02.01.23 08:55;;;
Login;02.01.23 09:08;02.01.23 09:08;;;
GetOrder;2/1/2023 09:21:27.070;02.01.23 09:21;;;
SetPayment;02.01.23 09:34;02.01.23 09:34;;;
ModifyItem;02.01.23 09:47;02.01.23 09:47;;;
GetItem;02.01.23 10:00;02.01.23 10:00;;;
GetPaymentMethods;02.01.23 10:12;02.01.23 10:12;;;
SendNotification;02.01.23 10:25;02.01.23 10:25;;;
Login;02.01.23 10:38;02.01.23 10:38;;;
ModifyItem;02.01.23 10:51;02.01.23 10:51;;;
GetPaymentMethods;02.01.23 11:17;02.01.23 11:17;;;
GetOrder;02.01.23 11:42;02.01.23 11:42;;;
AddItemToOrder;02.01.23 11:55;02.01.23 11:55;;;
SetDeliveryAddress;2/1/2023 12:08:33.060;02.01.23 12:08;;;
GetPaymentMethods;02.01.23 12:21;02.01.23 12:21;;;
ModifyOrder;02.01.23 12:34;02.01.23 12:34;;;
AddItemToOrder;02.01.23 12:47;02.01.23 12:47;;;
GetPaymentList;02.01.23 12:59;02.01.23 12:59;;;
GetOrder;02.01.23 13:12;02.01.23 13:12;;;
SetDeliveryAddress;02.01.23 13:25;02.01.23 13:25;;;
SendNotification;02.01.23 13:38;02.01.23 13:38;;;
ModifyOrder;02.01.23 13:51;02.01.23 13:51;;;
SetDeliveryAddress;02.01.23 14:04;02.01.23 14:04;;;
GetTrackingData;02.01.23 14:17;02.01.23 14:17;;;
SetDeliveryAddress;02.01.23 14:29;02.01.23 14:29;;;
ModifyItem;02.01.23 14:42;02.01.23 14:42;;;
ModifyItem;2/1/2023 14:55:39.050;02.01.23 14:55;;;
SetPayment;02.01.23 15:08;02.01.23 15:08;;;
GetOrderList;02.01.23 15:21;02.01.23 15:21;;;
SendNotification;02.01.23 15:34;02.01.23 15:34;;;
ModifyItem;02.01.23 15:47;02.01.23 15:47;;;
GetItem;02.01.23 15:59;02.01.23 15:59;;;
Login;02.01.23 16:12;02.01.23 16:12;;;
GetPaymentList;02.01.23 16:25;02.01.23 16:25;;;
GetPaymentMethods;02.01.23 16:51;02.01.23 16:51;;;
GetOrderList;02.01.23 17:04;02.01.23 17:04;;;
GetOrder;02.01.23 17:17;02.01.23 17:17;;;
GetPaymentList;02.01.23 17:29;02.01.23 17:29;;;
GetTrackingData;2/1/2023 17:42:45.040;02.01.23 17:42;;;
GetPaymentMethods;02.01.23 17:55;02.01.23 17:55;;;
ModifyOrder;02.01.23 18:08;02.01.23 18:08;;;
SetDeliveryAddress;02.01.23 18:21;02.01.23 18:21;;;
AddItemToOrder;02.01.23 18:34;02.01.23 18:34;;;
AddItemToOrder;02.01.23 18:47;02.01.23 18:47;;;
GetItemList;02.01.23 19:12;02.01.23 19:12;;;
GetPaymentMethods;02.01.23 19:25;02.01.23 19:25;;;
GetTrackingData;02.01.23 19:38;02.01.23 19:38;;;
AddItemToOrder;02.01.23 19:51;02.01.23 19:51;;;
GetPaymentMethods;02.01.23 20:04;02.01.23 20:04;;;
SetPayment;02.01.23 20:16;02.01.23 20:16;;;
GetOrder;2/1/2023 20:29:51.030;02.01.23 20:29;;;
ModifyItem;02.01.23 20:42;02.01.23 20:42;;;
ModifyItem;02.01.23 20:55;02.01.23 20:55;;;
GetTrackingData;02.01.23 21:21;02.01.23 21:21;;;
GetPaymentList;02.01.23 21:34;02.01.23 21:34;;;
SetPayment;02.01.23 21:59;02.01.23 21:59;;;
GetPaymentMethods;02.01.23 22:12;02.01.23 22:12;;;
GetTrackingData;02.01.23 22:25;02.01.23 22:25;;;
GetOrderList;02.01.23 22:51;02.01.23 22:51;;;
GetOrderList;2/1/2023 23:16:57.020;02.01.23 23:16;;;
ModifyOrder;02.01.23 23:29;02.01.23 23:29;;;
GetTrackingData;03.01.23 00:08;03.01.23 00:08;;;
AddItemToOrder;03.01.23 00:21;03.01.23 00:21;;;
SetPayment;03.01.23 00:34;03.01.23 00:34;;;
GetTrackingData;03.01.23 00:46;03.01.23 00:46;;;
ModifyItem;03.01.23 00:59;03.01.23 00:59;;;
GetPaymentMethods;3/1/2023 01:12:38.090;03.01.23 01:12;;;
ModifyItem;03.01.23 01:25;03.01.23 01:25;;;
ModifyOrder;03.01.23 01:51;03.01.23 01:51;;;
ModifyItem;3/1/2023 02:04:03.010;03.01.23 02:04;;;
SetPayment;03.01.23 02:16;03.01.23 02:16;;;
GetPaymentList;03.01.23 02:29;03.01.23 02:29;;;
GetTrackingData;03.01.23 02:42;03.01.23 02:42;;;
AddItemToOrder;03.01.23 02:55;03.01.23 02:55;;;
GetOrderList;03.01.23 03:08;03.01.23 03:08;;;
GetItemList;03.01.23 03:34;03.01.23 03:34;;;
SendNotification;03.01.23 03:46;03.01.23 03:46;;;
GetItem;3/1/2023 03:59:44.080;03.01.23 03:59;;;
Login;03.01.23 04:12;03.01.23 04:12;;;
ModifyOrder;03.01.23 04:25;03.01.23 04:25;;;
GetItem;03.01.23 04:38;03.01.23 04:38;;;
GetPaymentMethods;03.01.23 05:04;03.01.23 05:04;;;
GetTrackingData;03.01.23 05:16;03.01.23 05:16;;;
GetItemList;03.01.23 05:29;03.01.23 05:29;;;
ModifyOrder;03.01.23 05:42;03.01.23 05:42;;;
ModifyOrder;03.01.23 05:55;03.01.23 05:55;;;
AddItemToOrder;03.01.23 06:08;03.01.23 06:08;;;
ModifyItem;03.01.23 06:33;03.01.23 06:34;;;
GetOrderList;3/1/2023 06:46:50.070;03.01.23 06:46;;;
Login;03.01.23 06:59;03.01.23 06:59;;;
ModifyOrder;03.01.23 07:12;03.01.23 07:12;;;
Login;03.01.23 07:25;03.01.23 07:25;;;
GetPaymentList;03.01.23 07:38;03.01.23 07:38;;;
GetItem;03.01.23 07:51;03.01.23 07:51;;;
GetPaymentList;03.01.23 08:03;03.01.23 08:03;;;
GetPaymentMethods;03.01.23 08:16;03.01.23 08:16;;;
ModifyItem;03.01.23 08:29;03.01.23 08:29;;;
GetPaymentList;03.01.23 08:42;03.01.23 08:42;;;
Login;03.01.23 08:55;03.01.23 08:55;;;
GetPaymentMethods;03.01.23 09:08;03.01.23 09:08;;;
AddItemToOrder;03.01.23 09:21;03.01.23 09:21;;;
GetPaymentMethods;3/1/2023 09:33:56.060;03.01.23 09:33;;;
AddItemToOrder;03.01.23 09:46;03.01.23 09:46;;;
GetTrackingData;03.01.23 09:59;03.01.23 09:59;;;
GetTrackingData;03.01.23 10:12;03.01.23 10:12;;;
AddItemToOrder;03.01.23 10:25;03.01.23 10:25;;;
GetOrderList;03.01.23 10:38;03.01.23 10:38;;;
GetItem;03.01.23 10:51;03.01.23 10:51;;;
GetItem;03.01.23 11:03;03.01.23 11:03;;;
GetTrackingData;03.01.23 11:16;03.01.23 11:16;;;
Login;03.01.23 11:29;03.01.23 11:29;;;
ModifyItem;03.01.23 11:42;03.01.23 11:42;;;
SendNotification;03.01.23 11:55;03.01.23 11:55;;;
GetItemList;03.01.23 12:08;03.01.23 12:08;;;
GetOrder;3/1/2023 12:21:02.050;03.01.23 12:21;;;
GetItem;03.01.23 12:33;03.01.23 12:33;;;
SetPayment;03.01.23 12:46;03.01.23 12:46;;;
ModifyItem;03.01.23 13:12;03.01.23 13:12;;;
GetOrder;03.01.23 13:25;03.01.23 13:25;;;
ModifyItem;03.01.23 13:51;03.01.23 13:51;;;
GetPaymentList;03.01.23 14:03;03.01.23 14:03;;;
GetPaymentList;03.01.23 14:29;03.01.23 14:29;;;
GetOrderList;03.01.23 14:42;03.01.23 14:42;;;
GetItem;03.01.23 14:55;03.01.23 14:55;;;
GetOrder;3/1/2023 15:08:08.040;03.01.23 15:08;;;
ModifyOrder;03.01.23 15:20;03.01.23 15:21;;;
Login;03.01.23 15:33;03.01.23 15:33;;;
GetPaymentList;03.01.23 15:46;03.01.23 15:46;;;
SetDeliveryAddress;03.01.23 15:59;03.01.23 15:59;;;
GetItemList;03.01.23 16:12;03.01.23 16:12;;;
GetPaymentMethods;03.01.23 16:25;03.01.23 16:25;;;
Login;03.01.23 16:38;03.01.23 16:38;;;
GetItemList;03.01.23 16:50;03.01.23 16:50;;;
GetOrder;03.01.23 17:03;03.01.23 17:03;;;
GetPaymentList;03.01.23 17:16;03.01.23 17:16;;;
SetPayment;03.01.23 17:29;03.01.23 17:29;;;
SendNotification;03.01.23 17:42;03.01.23 17:42;;;
SendNotification;3/1/2023 17:55:14.030;03.01.23 17:55;;;
AddItemToOrder;03.01.23 18:08;03.01.23 18:08;;;
GetTrackingData;03.01.23 18:20;03.01.23 18:20;;;
SendNotification;03.01.23 18:33;03.01.23 18:33;;;
GetOrder;03.01.23 18:46;03.01.23 18:46;;;
SendNotification;03.01.23 18:59;03.01.23 18:59;;;
GetItem;03.01.23 19:25;03.01.23 19:25;;;
GetItemList;03.01.23 19:38;03.01.23 19:38;;;
SendNotification;03.01.23 19:50;03.01.23 19:50;;;
Login;03.01.23 20:03;03.01.23 20:03;;;
ModifyOrder;03.01.23 20:29;03.01.23 20:29;;;
GetPaymentMethods;3/1/2023 20:42:20.020;03.01.23 20:42;;;
ModifyItem;03.01.23 20:55;03.01.23 20:55;;;
GetTrackingData;03.01.23 21:08;03.01.23 21:08;;;
GetPaymentMethods;03.01.23 21:20;03.01.23 21:20;;;
GetTrackingData;03.01.23 21:33;03.01.23 21:33;;;
GetOrder;03.01.23 21:46;03.01.23 21:46;;;
GetOrderList;03.01.23 21:59;03.01.23 21:59;;;
ModifyOrder;03.01.23 22:12;03.01.23 22:12;;;
AddItemToOrder;03.01.23 22:25;03.01.23 22:25;;;
GetPaymentList;3/1/2023 22:38:01.090;03.01.23 22:38;;;
SetPayment;03.01.23 22:50;03.01.23 22:50;;;
GetPaymentList;03.01.23 23:03;03.01.23 23:03;;;
SetDeliveryAddress;03.01.23 23:16;03.01.23 23:16;;;
ModifyItem;3/1/2023 23:29:26.010;03.01.23 23:29;;;
GetOrderList;03.01.23 23:42;03.01.23 23:42;;;
GetOrderList;03.01.23 23:55;03.01.23 23:55;;;
GetPaymentMethods;04.01.23 00:07;04.01.23 00:08;;;
GetPaymentMethods;04.01.23 00:20;04.01.23 00:20;;;
SetPayment;04.01.23 00:33;04.01.23 00:33;;;
SendNotification;04.01.23 00:46;04.01.23 00:46;;;
Login;04.01.23 00:59;04.01.23 00:59;;;
AddItemToOrder;04.01.23 01:12;04.01.23 01:12;;;
GetOrderList;4/1/2023 01:25:07.080;04.01.23 01:25;;;
Login;04.01.23 01:37;04.01.23 01:37;;;
ModifyOrder;4/1/2023 02:16:32.000;04.01.23 02:16;;;
GetOrder;04.01.23 02:29;04.01.23 02:29;;;
AddItemToOrder;04.01.23 02:42;04.01.23 02:42;;;
AddItemToOrder;04.01.23 02:55;04.01.23 02:55;;;
GetItem;04.01.23 03:07;04.01.23 03:07;;;
ModifyItem;04.01.23 03:20;04.01.23 03:20;;;
Login;04.01.23 03:33;04.01.23 03:33;;;
ModifyItem;04.01.23 03:46;04.01.23 03:46;;;
SetDeliveryAddress;04.01.23 03:59;04.01.23 03:59;;;
AddItemToOrder;4/1/2023 04:12:13.070;04.01.23 04:12;;;
GetPaymentList;04.01.23 04:25;04.01.23 04:25;;;
GetOrderList;04.01.23 04:50;04.01.23 04:50;;;
GetItemList;04.01.23 05:03;04.01.23 05:03;;;
GetPaymentList;04.01.23 05:16;04.01.23 05:16;;;
GetPaymentList;04.01.23 05:29;04.01.23 05:29;;;
GetOrderList;04.01.23 05:42;04.01.23 05:42;;;
GetItem;04.01.23 05:55;04.01.23 05:55;;;
GetItemList;04.01.23 06:07;04.01.23 06:07;;;
SetPayment;04.01.23 06:20;04.01.23 06:20;;;
ModifyOrder;04.01.23 06:33;04.01.23 06:33;;;
GetOrder;04.01.23 06:46;04.01.23 06:46;;;
ModifyOrder;4/1/2023 06:59:19.060;04.01.23 06:59;;;
GetOrder;04.01.23 07:12;04.01.23 07:12;;;
GetPaymentList;04.01.23 07:25;04.01.23 07:25;;;
GetItemList;04.01.23 07:37;04.01.23 07:37;;;
GetOrder;04.01.23 08:03;04.01.23 08:03;;;
SetPayment;04.01.23 08:16;04.01.23 08:16;;;
SetDeliveryAddress;04.01.23 08:29;04.01.23 08:29;;;
AddItemToOrder;04.01.23 08:42;04.01.23 08:42;;;
AddItemToOrder;04.01.23 08:55;04.01.23 08:55;;;
GetOrder;04.01.23 09:07;04.01.23 09:07;;;
SetPayment;04.01.23 09:20;04.01.23 09:20;;;
SetDeliveryAddress;04.01.23 09:33;04.01.23 09:33;;;
SetPayment;4/1/2023 09:46:25.050;04.01.23 09:46;;;
ModifyItem;04.01.23 09:59;04.01.23 09:59;;;
AddItemToOrder;04.01.23 10:12;04.01.23 10:12;;;
GetTrackingData;04.01.23 10:24;04.01.23 10:24;;;
ModifyItem;04.01.23 10:37;04.01.23 10:37;;;
GetPaymentList;04.01.23 10:50;04.01.23 10:50;;;
SetDeliveryAddress;04.01.23 11:16;04.01.23 11:16;;;
Login;04.01.23 11:29;04.01.23 11:29;;;
GetPaymentMethods;04.01.23 11:54;04.01.23 11:54;;;
SetPayment;04.01.23 12:07;04.01.23 12:07;;;
GetItem;04.01.23 12:20;04.01.23 12:20;;;
AddItemToOrder;4/1/2023 12:33:31.040;04.01.23 12:33;;;
SendNotification;04.01.23 12:46;04.01.23 12:46;;;
GetItem;04.01.23 12:59;04.01.23 12:59;;;
GetPaymentList;04.01.23 13:12;04.01.23 13:12;;;
ModifyItem;04.01.23 13:24;04.01.23 13:24;;;
GetOrder;04.01.23 13:37;04.01.23 13:37;;;
GetPaymentMethods;04.01.23 14:03;04.01.23 14:03;;;
GetItemList;04.01.23 14:16;04.01.23 14:16;;;
GetPaymentMethods;04.01.23 14:29;04.01.23 14:29;;;
ModifyOrder;04.01.23 14:42;04.01.23 14:42;;;
GetPaymentList;04.01.23 14:54;04.01.23 14:54;;;
ModifyOrder;04.01.23 15:07;04.01.23 15:07;;;
GetOrder;4/1/2023 15:20:37.030;04.01.23 15:20;;;
Login;04.01.23 15:33;04.01.23 15:33;;;
SendNotification;04.01.23 15:46;04.01.23 15:46;;;
ModifyItem;04.01.23 15:59;04.01.23 15:59;;;
GetPaymentMethods;04.01.23 16:12;04.01.23 16:12;;;
Login;04.01.23 16:24;04.01.23 16:24;;;
GetOrder;04.01.23 16:37;04.01.23 16:37;;;
GetItemList;04.01.23 17:03;04.01.23 17:03;;;
GetOrder;04.01.23 17:16;04.01.23 17:16;;;
SetDeliveryAddress;04.01.23 17:42;04.01.23 17:42;;;
ModifyItem;04.01.23 17:54;04.01.23 17:54;;;
SendNotification;4/1/2023 18:07:43.020;04.01.23 18:07;;;
GetOrder;04.01.23 18:20;04.01.23 18:20;;;
SendNotification;04.01.23 18:33;04.01.23 18:33;;;
GetTrackingData;04.01.23 18:46;04.01.23 18:46;;;
GetPaymentList;04.01.23 18:59;04.01.23 18:59;;;
GetOrderList;04.01.23 19:11;04.01.23 19:12;;;
GetOrderList;04.01.23 19:24;04.01.23 19:24;;;
GetPaymentMethods;04.01.23 19:37;04.01.23 19:37;;;
SetPayment;04.01.23 19:50;04.01.23 19:50;;;
Login;4/1/2023 20:03:24.090;04.01.23 20:03;;;
GetOrder;04.01.23 20:16;04.01.23 20:16;;;
GetTrackingData;04.01.23 20:29;04.01.23 20:29;;;
GetPaymentList;04.01.23 20:41;04.01.23 20:41;;;
ModifyOrder;4/1/2023 20:54:49.010;04.01.23 20:54;;;
GetPaymentMethods;04.01.23 21:07;04.01.23 21:07;;;
ModifyOrder;04.01.23 21:20;04.01.23 21:20;;;
Login;04.01.23 21:33;04.01.23 21:33;;;
GetItemList;04.01.23 21:46;04.01.23 21:46;;;
GetOrder;04.01.23 21:59;04.01.23 21:59;;;
SendNotification;04.01.23 22:11;04.01.23 22:11;;;
GetPaymentList;04.01.23 22:24;04.01.23 22:24;;;
SetDeliveryAddress;4/1/2023 22:50:30.080;04.01.23 22:50;;;
SetDeliveryAddress;04.01.23 23:03;04.01.23 23:03;;;
GetItemList;04.01.23 23:16;04.01.23 23:16;;;
GetItem;04.01.23 23:29;04.01.23 23:29;;;
SendNotification;4/1/2023 23:41:55.000;04.01.23 23:41;;;
GetItem;04.01.23 23:54;04.01.23 23:54;;;
ModifyOrder;05.01.23 00:07;05.01.23 00:07;;;
SetPayment;05.01.23 00:20;05.01.23 00:20;;;
SetDeliveryAddress;05.01.23 00:33;05.01.23 00:33;;;
GetPaymentMethods;05.01.23 00:46;05.01.23 00:46;;;
GetPaymentList;05.01.23 00:59;05.01.23 00:59;;;
AddItemToOrder;05.01.23 01:11;05.01.23 01:11;;;
GetOrder;05.01.23 01:24;05.01.23 01:24;;;
GetItem;5/1/2023 01:37:36.070;05.01.23 01:37;;;
GetPaymentMethods;05.01.23 01:50;05.01.23 01:50;;;
ModifyItem;05.01.23 02:03;05.01.23 02:03;;;
SetDeliveryAddress;05.01.23 02:16;05.01.23 02:16;;;
GetItemList;05.01.23 02:29;05.01.23 02:29;;;
GetOrder;05.01.23 02:41;05.01.23 02:41;;;
GetItemList;05.01.23 02:54;05.01.23 02:54;;;
ModifyItem;05.01.23 03:07;05.01.23 03:07;;;
Login;05.01.23 03:20;05.01.23 03:20;;;
AddItemToOrder;05.01.23 03:46;05.01.23 03:46;;;
SetPayment;05.01.23 03:58;05.01.23 03:58;;;
GetItem;05.01.23 04:11;05.01.23 04:11;;;
ModifyItem;05.01.23 04:37;05.01.23 04:37;;;
GetItem;05.01.23 04:50;05.01.23 04:50;;;
SetPayment;05.01.23 05:03;05.01.23 05:03;;;
GetItem;05.01.23 05:16;05.01.23 05:16;;;
GetOrderList;05.01.23 05:28;05.01.23 05:28;;;
ModifyOrder;05.01.23 05:41;05.01.23 05:41;;;
GetItem;05.01.23 05:54;05.01.23 05:54;;;
SetDeliveryAddress;05.01.23 06:07;05.01.23 06:07;;;
ModifyItem;05.01.23 06:33;05.01.23 06:33;;;
Login;05.01.23 06:46;05.01.23 06:46;;;
Login;05.01.23 06:58;05.01.23 06:58;;;
ModifyOrder;5/1/2023 07:11:48.050;05.01.23 07:11;;;
SendNotification;05.01.23 07:24;05.01.23 07:24;;;
GetItemList;05.01.23 07:37;05.01.23 07:37;;;
GetPaymentMethods;05.01.23 07:50;05.01.23 07:50;;;
GetItem;05.01.23 08:03;05.01.23 08:03;;;
AddItemToOrder;05.01.23 08:16;05.01.23 08:16;;;
GetOrder;05.01.23 08:28;05.01.23 08:28;;;
AddItemToOrder;05.01.23 08:41;05.01.23 08:41;;;
GetItem;05.01.23 08:54;05.01.23 08:54;;;
GetPaymentMethods;05.01.23 09:07;05.01.23 09:07;;;
GetPaymentMethods;05.01.23 09:20;05.01.23 09:20;;;
Login;05.01.23 09:33;05.01.23 09:33;;;
ModifyItem;05.01.23 09:46;05.01.23 09:46;;;
GetOrder;5/1/2023 09:58:54.040;05.01.23 09:58;;;
SetPayment;05.01.23 10:11;05.01.23 10:11;;;
ModifyOrder;05.01.23 10:24;05.01.23 10:24;;;
ModifyOrder;05.01.23 10:50;05.01.23 10:50;;;
SetPayment;05.01.23 11:03;05.01.23 11:03;;;
ModifyItem;05.01.23 11:16;05.01.23 11:16;;;
SendNotification;05.01.23 11:28;05.01.23 11:28;;;
GetOrder;05.01.23 11:41;05.01.23 11:41;;;
Login;05.01.23 11:54;05.01.23 11:54;;;
GetTrackingData;05.01.23 12:07;05.01.23 12:07;;;
GetPaymentList;05.01.23 12:20;05.01.23 12:20;;;
ModifyOrder;05.01.23 12:33;05.01.23 12:33;;;
SetDeliveryAddress;5/1/2023 12:46:00.030;05.01.23 12:46;;;
ModifyOrder;05.01.23 13:11;05.01.23 13:11;;;
SetPayment;05.01.23 13:24;05.01.23 13:24;;;
GetItemList;05.01.23 13:37;05.01.23 13:37;;;
SendNotification;05.01.23 13:50;05.01.23 13:50;;;
ModifyOrder;05.01.23 14:03;05.01.23 14:03;;;
Login;05.01.23 14:15;05.01.23 14:15;;;
ModifyItem;05.01.23 14:28;05.01.23 14:28;;;
GetOrder;05.01.23 14:41;05.01.23 14:41;;;
GetOrder;05.01.23 14:54;05.01.23 14:54;;;
GetItem;05.01.23 15:20;05.01.23 15:20;;;
Login;5/1/2023 15:33:06.020;05.01.23 15:33;;;
SetDeliveryAddress;05.01.23 15:45;05.01.23 15:45;;;
GetTrackingData;05.01.23 15:58;05.01.23 15:58;;;
AddItemToOrder;05.01.23 16:11;05.01.23 16:11;;;
AddItemToOrder;05.01.23 16:24;05.01.23 16:24;;;
Login;05.01.23 16:37;05.01.23 16:37;;;
GetTrackingData;05.01.23 16:50;05.01.23 16:50;;;
Login;05.01.23 17:03;05.01.23 17:03;;;
GetPaymentList;05.01.23 17:15;05.01.23 17:15;;;
GetItemList;5/1/2023 17:28:47.090;05.01.23 17:28;;;
GetTrackingData;05.01.23 17:41;05.01.23 17:41;;;
AddItemToOrder;05.01.23 17:54;05.01.23 17:54;;;
AddItemToOrder;05.01.23 18:07;05.01.23 18:07;;;
GetItem;5/1/2023 18:20:12.010;05.01.23 18:20;;;
GetItemList;05.01.23 18:45;05.01.23 18:45;;;
GetItemList;05.01.23 18:58;05.01.23 18:58;;;
GetOrder;05.01.23 19:11;05.01.23 19:11;;;
GetTrackingData;05.01.23 19:24;05.01.23 19:24;;;
Login;05.01.23 19:37;05.01.23 19:37;;;
GetOrderList;05.01.23 19:50;05.01.23 19:50;;;
GetTrackingData;05.01.23 20:03;05.01.23 20:03;;;
GetPaymentMethods;5/1/2023 20:15:53.080;05.01.23 20:15;;;
Login;05.01.23 20:28;05.01.23 20:28;;;
